,appid,date
0,570,"9 Jul, 2013"
1,730,"21 Aug, 2012"
2,578080,"21 Dec, 2017"
3,440,"10 Oct, 2007"
4,1063730,"28 Sep, 2021"
5,1623730,"18 Jan, 2024"
6,1172470,"4 Nov, 2020"
7,1938090,"27 Oct, 2022"
8,271590,"13 Apr, 2015"
9,550,"19 Nov, 2009"
10,1599340,"11 Feb, 2022"
11,252490,"8 Feb, 2018"
12,304930,"7 Jul, 2017"
13,553850,"8 Feb, 2024"
14,230410,"25 Mar, 2013"
15,236390,"15 Aug, 2013"
16,105600,"16 May, 2011"
17,1245620,"24 Feb, 2022"
18,291550,"17 Oct, 2017"
19,359550,"1 Dec, 2015"
20,1086940,"3 Aug, 2023"
21,1085660,"1 Oct, 2019"
22,4000,"29 Nov, 2006"
23,431960,2018年11月
24,340,"27 Oct, 2005"
25,892970,2 фев. 2021 г.
26,1091500,"9 Dec, 2020"
27,945360,"16 Nov, 2018"
28,218620,"13 Aug, 2013"
29,901583,
30,238960,"23 Oct, 2013"
31,346110,2017年8月27日
32,242760,"30 Apr, 2018"
33,899770,"21 Feb, 2024"
34,1097150,"3 Aug, 2020"
35,381210,"14 Jun, 2016"
36,292030,"18 May, 2015"
37,413150,"26 Feb, 2016"
38,291480,"1 Jul, 2014"
39,444090,8 мая. 2018 г.
40,49520,"20 Sep, 2012"
41,1203220,"11 Aug, 2021"
42,10,"1 Nov, 2000"
43,272060,"30 Jan, 2014"
44,552990,2017 年 11 月 15 日
45,438100,"1 Feb, 2017"
46,227300,"12 Oct, 2012"
47,227940,"18 Oct, 2016"
48,620,"18 Apr, 2011"
49,739630,"18 Sep, 2020"
50,252950,"6 Jul, 2015"
51,1240440,"15 Nov, 2021"
52,990080,"10 Feb, 2023"
53,1966720,23 окт. 2023 г.
54,240,"1 Nov, 2004"
55,1517290,"19 Nov, 2021"
56,582010,"8 Aug, 2018"
57,320,"1 Nov, 2004"
58,1468810,"26 May, 2023"
59,70,"8 Nov, 1998"
60,386360,"8 Sep, 2015"
61,444200,"9 Nov, 2016"
62,755790,"24 Jun, 2019"
63,648800,"20 Jun, 2022"
64,108600,"8 Nov, 2013"
65,550650,"26 Jun, 2019"
66,301520,"24 Aug, 2017"
67,251570,2013年12月13日
68,1174180,"5 Dec, 2019"
69,477160,"22 Jul, 2016"
70,400,"10 Oct, 2007"
71,239140,"15 Jul, 2021"
72,433850,"28 Feb, 2018"
73,367520,2017年2月24日
74,417910,"16 Dec, 2016"
75,322330,"21 Apr, 2016"
76,250900,"4 Nov, 2014"
77,814380,"21 Mar, 2019"
78,261550,"25 Oct, 2022"
79,8930,"23 Sep, 2010"
80,304050,"9 Jul, 2015"
81,377160,2015年11月9日
82,532210,"26 Sep, 2018"
83,1222670,"18 Jun, 2020"
84,1811260,"30 Sep, 2022"
85,221100,"13 Dec, 2018"
86,218230,"20 Nov, 2012"
87,255710,"10 Mar, 2015"
88,60,"1 Nov, 2000"
89,72850,"10 Nov, 2011"
90,107410,"12 Sep, 2013"
91,289070,"20 Oct, 2016"
92,96000,"22 Apr, 2011"
93,1089350,"6 Sep, 2019"
94,204360,"26 Sep, 2012"
95,1046930,"20 Jun, 2019"
96,1326470,"22 Feb, 2024"
97,224260,"31 Oct, 2013"
98,80,"1 Mar, 2004"
99,203160,"4 Mar, 2013"
