,appid,genre,tag1,tag2,tag3,tag4,tag5
0,570,"Action, Strategy, Free to Play",Free to Play,MOBA,Multiplayer,Strategy,e-sports
1,730,"Action, Free to Play",FPS,Shooter,Multiplayer,Competitive,Action
2,578080,"Action, Adventure, Massively Multiplayer, Free to Play",Survival,Shooter,Battle Royale,Multiplayer,FPS
3,440,"Action, Free to Play",Free to Play,Hero Shooter,Multiplayer,FPS,Shooter
4,1063730,"Action, Adventure, Massively Multiplayer, RPG",Open World,Massively Multiplayer,MMORPG,RPG,Adventure
5,1623730,"Action, Adventure, Indie, RPG, Early Access",Open World,Multiplayer,Survival,Creature Collector,Open World Survival Craft
6,1172470,"Action, Adventure, Free to Play",Free to Play,Battle Royale,Multiplayer,FPS,Shooter
7,1938090,Action,FPS,Multiplayer,Shooter,Action,Singleplayer
8,271590,"Action, Adventure",Open World,Action,Multiplayer,Crime,Automobile Sim
9,550,Action,Zombies,Co-op,FPS,Multiplayer,Shooter
10,1599340,"Action, Adventure, Massively Multiplayer, RPG, Free to Play",MMORPG,Free to Play,Action RPG,Multiplayer,Hack and Slash
11,252490,"Action, Adventure, Indie, Massively Multiplayer, RPG",Survival,Crafting,Multiplayer,Open World,Open World Survival Craft
12,304930,"Action, Adventure, Casual, Indie, Free to Play",Free to Play,Survival,Zombies,Multiplayer,Open World
13,553850,Action,Online Co-Op,Third-Person Shooter,Multiplayer,Action,PvE
14,230410,"Action, RPG, Free to Play",Free to Play,Action RPG,Looter Shooter,Third-Person Shooter,Action
15,236390,"Action, Massively Multiplayer, Simulation, Free to Play",Free to Play,Vehicular Combat,Combat,World War II,VR
16,105600,"Action, Adventure, Indie, RPG",Open World Survival Craft,Sandbox,Survival,2D,Multiplayer
17,1245620,"Action, RPG",Souls-like,Dark Fantasy,Open World,RPG,Difficult
18,291550,"Action, Indie, Free to Play",Free to Play,Multiplayer,Fighting,2D Fighter,2D Platformer
19,359550,Action,FPS,PvP,e-sports,Multiplayer,Tactical
20,1086940,"Adventure, RPG, Strategy",RPG,Choices Matter,Character Customization,Story Rich,Turn-Based Combat
21,1085660,"Action, Adventure, Free to Play",Free to Play,Open World,FPS,Looter Shooter,MMORPG
22,4000,"Casual, Indie, Simulation",Sandbox,Moddable,Multiplayer,Physics,Building
23,431960,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",Mature,Utilities,Software,Anime,Design & Illustration
24,340,Action,FPS,Action,Singleplayer,First-Person,Sci-fi
25,892970,"Action, Adventure, Indie, RPG, Early Access",Open World Survival Craft,Survival,Online Co-Op,Open World,Multiplayer
26,1091500,RPG,Cyberpunk,Open World,Nudity,RPG,Singleplayer
27,945360,Casual,Multiplayer,Online Co-Op,Social Deduction,Space,Survival
28,218620,"Action, RPG",Co-op,Action,FPS,Heist,Multiplayer
29,901583,"Action, Adventure",Open World,Action,Automobile Sim,Multiplayer,Crime
30,238960,"Action, Adventure, Indie, Massively Multiplayer, RPG, Free to Play",Free to Play,Dark Fantasy,Action RPG,Hack and Slash,Loot
31,346110,"Action, Adventure, Indie, Massively Multiplayer, RPG",Open World Survival Craft,Survival,Multiplayer,Open World,Dinosaurs
32,242760,"Action, Adventure, Indie, Simulation",Open World Survival Craft,Survival,Open World,Horror,Crafting
33,899770,"Action, Adventure, Indie, RPG",Action RPG,Loot,Hack and Slash,RPG,Isometric
34,1097150,"Action, Casual, Indie, Massively Multiplayer, Sports",Multiplayer,Party Game,Family Friendly,Battle Royale,Massively Multiplayer
35,381210,Action,Horror,Survival Horror,Multiplayer,Online Co-Op,Co-op
36,292030,RPG,Open World,RPG,Story Rich,Atmospheric,Mature
37,413150,"Indie, RPG, Simulation",Farming Sim,Pixel Graphics,Life Sim,Multiplayer,RPG
38,291480,"Action, Massively Multiplayer, Free to Play",Free to Play,FPS,Realistic,Multiplayer,Shooter
39,444090,"Action, Adventure, Massively Multiplayer, Strategy, Free to Play",Hero Shooter,Free to Play,Multiplayer,FPS,Shooter
40,49520,"Action, RPG",Loot,Shooter,Action,Multiplayer,Co-op
41,1203220,"Action, Adventure, Massively Multiplayer",Battle Royale,Multiplayer,Martial Arts,PvP,Action
42,10,Action,Action,FPS,Multiplayer,Shooter,Classic
43,272060,"Adventure, Indie",Horror,Free to Play,Indie,Point & Click,Psychological Horror
44,552990,"Action, Massively Multiplayer, Simulation, Free to Play",Naval Combat,Free to Play,Naval,World War II,Massively Multiplayer
45,438100,"Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free to Play, Early Access",VR,Free to Play,Multiplayer,Memes,Anime
46,227300,"Indie, Simulation",Driving,Transportation,Simulation,Open World,Automobile Sim
47,227940,"Action, Free to Play, Indie, Massively Multiplayer, Strategy",Free to Play,World War II,FPS,Multiplayer,War
48,739630,"Action, Indie, Early Access",Horror,Online Co-Op,Multiplayer,Psychological Horror,Co-op
49,620,"Action, Adventure",Platformer,Puzzle,Dark Humor,First-Person,Story Rich
